Index,Review,Sentence,Fit,Size,Material,Comfortability,Quality,Price,Color,General
32,"If you are lean and small in size they will be too big... The quality of the spandex is too thin and stretches out too fast and easily. The length is perfect for petite women, which is hard to come by when buy leggings in general. They are also super highwasted with zero support",If you are lean and small in size they will be too big...,0,1,0,0,0,0,0,0
33,,The quality of the spandex is too thin and stretches out too fast and easily.,0,0,1,0,1,0,0,0
34,,"The length is perfect for petite women, which is hard to come by when buy leggings in general.",0,1,0,0,0,0,0,0
35,,They are also super highwasted with zero support,0,0,0,0,0,0,0,1
36,"Didnt like the fabric, too stiff, the back is really shorter than the front.","Didnt like the fabric, too stiff, the back is really shorter than the front.",0,0,1,0,0,0,0,0
37,"I love this brand!! Best active leggings I have found anywhere to date. I have bought three pairs of leggings from 90 Degree, one full length pair in black, one 22"" pair in the heather/guava color, and another 22"" pair in the watermelon color. In the past, Ive had trouble with brands like VS Pink Ultimate wearing on the inside of my thighs and the fabric ripping. I have never had this issue with this brand! Definitely rivals brands like Athleta and LuluLemon. They fit wonderfully, and the length is perfect. Excellent quality, excellent price! <3",I love this brand  ,0,0,0,0,0,0,0,1
38,,Best active leggings I have found anywhere to date.,0,0,0,0,0,0,0,1
39,,"I have bought three pairs of leggings from 90 Degree, one full length pair in black, one 22  pair in the heather guava color, and another 22  pair in the watermelon color.",0,1,0,0,0,0,1,0
40,,"In the past, Ive had trouble with brands like VS Pink Ultimate wearing on the inside of my thighs and the fabric ripping.",0,0,0,0,0,0,0,1
41,,I have never had this issue with this brand ,0,0,0,0,0,0,0,1
42,,Definitely rivals brands like Athleta and LuluLemon.,0,0,0,0,0,0,0,1
43,,"They fit wonderfully, and the length is perfect.",1,1,0,0,0,0,0,0
44,,"Excellent quality, excellent price ",0,0,0,0,1,1,0,0
45,still very nice,still very nice,0,0,0,0,0,0,0,1
46,Great product! Shipped quick and size just right!,Great product ,0,0,0,0,0,0,0,1
47,,Shipped quick and size just right ,0,1,0,0,0,0,0,0
48,"Shirt was exactly as I expected. I ordered one size larger because they usually shrink after washing, so the shirt was slightly bigger for me. The material and look of the shirt are of great quality. Very comfortable, I would recommend to anyone.",Shirt was exactly as I expected.,0,0,0,0,0,0,0,1
49,,"I ordered one size larger because they usually shrink after washing, so the shirt was slightly bigger for me.",0,1,1,0,0,0,0,0
50,,The material and look of the shirt are of great quality.,0,0,1,0,1,0,0,0
51,,"Very comfortable, I would recommend to anyone.",0,0,0,1,0,0,0,0
52,"good enough, as expected","good enough, as expected",0,0,0,0,0,0,0,1
53,Little be tieght . But it is comfortable for me !!,Little be tieght .,0,1,0,0,0,0,0,0
54,,But it is comfortable for me  ,0,0,0,1,0,0,0,0
55,I bought these for my boyfriend and they fit great!,I bought these for my boyfriend and they fit great ,1,0,0,0,0,0,0,0
56,"I know it says ""loose"" fitting but dont expect a baggy shirt. Im 63"" 190 lbs athletic build and a medium size is more tailored across chest with some breathing room around stomach, perfect fit. Fabric is very thin and lightweight. Not sure how it will hold up but it definitely looks as good as I hoped after one use.",I know it says  loose  fitting but dont expect a baggy shirt.,1,0,0,0,0,0,0,0
57,,"Im 63  190 lbs athletic build and a medium size is more tailored across chest with some breathing room around stomach, perfect fit.",1,1,0,0,0,0,0,0
58,,Fabric is very thin and lightweight.,0,0,1,0,0,0,0,0
59,,Not sure how it will hold up but it definitely looks as good as I hoped after one use.,0,0,0,0,0,0,0,1
60,Excellent light weight jacket,Excellent light weight jacket,0,0,0,0,0,0,0,1
61,It fits well and washes nicely. My daughter uses it for gym class and it gets washed often.,It fits well and washes nicely.,1,0,0,0,0,0,0,0
62,,My daughter uses it for gym class and it gets washed often.,0,0,0,0,0,0,0,1
63,the nike logo comes off after i wash once .,the nike logo comes off after i wash once .,0,0,0,0,0,0,0,1
64,"Goods quality, nice color, i have got what i expected","Goods quality, nice color, i have got what i expected",0,0,0,0,1,0,1,0
65,"I really love Nike clothing, but I have to say that this has been an exception. It looks great on the body but the material looks really cheap and transparent, which makes it uncomfortable when exercising. WifeÃ¢â‚¬â„¢s opinion.","I really love Nike clothing, but I have to say that this has been an exception.",0,0,0,0,0,0,0,1
66,,"It looks great on the body but the material looks really cheap and transparent, which makes it uncomfortable when exercising.",0,0,1,0,0,0,0,0
67,,Wife   s opinion.,0,0,0,0,0,0,0,1
68,My son loves this Hoodie,My son loves this Hoodie,0,0,0,0,0,0,0,1
69,Do not like the quality of the legging. Stretches out easily and doesnt wash nicely.,Do not like the quality of the legging.,0,0,0,0,1,0,0,0
70,,Stretches out easily and doesnt wash nicely.,0,0,1,0,0,0,0,0
71,It was too big so I returned it.,It was too big so I returned it.,0,0,0,0,0,0,0,1
72,"Wasnt thrilled that white was rhe only color available at the sale price through Amazon Prime. However this shirt is really nice. Its a nice thick mousture-wicking material thats desireable for layering for cold, outdoor activity. Fits well through chest and extended length in torso. Was the perfect addition to my lite winter jacket while snowshoeing and CC skiing in 18 degree temps. Through movement, I got too warm and removed the jacket. This shirt was all I needed for warmth, it was comfortable, formed to my body and protected my skin for the cold and wind.",Wasnt thrilled that white was rhe only color available at the sale price through Amazon Prime.,0,0,0,0,0,1,1,0
73,,However this shirt is really nice.,0,0,0,0,0,0,0,1
74,,"Its a nice thick mousture wicking material thats desireable for layering for cold, outdoor activity.",0,0,1,0,0,0,0,0
75,,Fits well through chest and extended length in torso.,1,1,0,0,0,0,0,0
76,,Was the perfect addition to my lite winter jacket while snowshoeing and CC skiing in 18 degree temps.,0,0,0,0,0,0,0,1
77,,"Through movement, I got too warm and removed the jacket.",0,0,0,0,0,0,0,1
78,,"This shirt was all I needed for warmth, it was comfortable, formed to my body and protected my skin for the cold and wind.",0,0,0,1,0,0,0,0
79,"You gotta love a good yoga pant!!
These fit so nicely. They are snug and comfy, as a yoga pant should be.
I was able to wear them throughout pregnancy too, just pulled them below my belly. Now, seven months after birth, they still fit perfectly and perform just as well.
What makes a comfortable yoga pant for me is the opaqueness. I feel good knowing that when Im bending over, no one can see my business and this pant provides that! ??",You gotta love a good yoga pant  ,0,0,0,0,0,0,0,1
80,,These fit so nicely.,1,0,0,0,0,0,0,0
81,,"They are snug and comfy, as a yoga pant should be.",0,0,0,1,0,0,0,0
82,,"I was able to wear them throughout pregnancy too, just pulled them below my belly.",0,0,0,0,0,0,0,1
83,,"Now, seven months after birth, they still fit perfectly and perform just as well.",1,0,0,0,0,0,0,0
84,,What makes a comfortable yoga pant for me is the opaqueness.,0,0,0,1,0,0,0,0
85,,"I feel good knowing that when Im bending over, no one can see my business and this pant provides that ",0,0,0,0,0,0,0,1
86,Will order more.,Will order more.,0,0,0,0,0,0,0,1
87,Perfect fit! Authentic Nike ordered small size. Usually wear a size 3. Height 54 147lbs,Perfect fit ,1,0,0,0,0,0,0,0
88,,Authentic Nike ordered small size.,0,1,0,0,0,0,0,0
89,,Usually wear a size 3.,0,1,0,0,0,0,0,0
90,,Height 54 147lbs,0,1,0,0,0,0,0,0
91,Zero stars FAKE,Zero stars FAKE,0,0,0,0,0,0,0,1
92,"This was a birthday gift for my sister. She enjoys all things ""Nike"" and had specifically requested this hoodie. It arrived quickly and the quality was good, as expected. She wears it quite a bit and so far no issues with it at all, she often mentions how comfy it is. I would definitely buy again.",This was a birthday gift for my sister.,0,0,0,0,0,0,0,1
93,,She enjoys all things  Nike  and had specifically requested this hoodie.,0,0,0,0,0,0,0,1
94,,"It arrived quickly and the quality was good, as expected.",0,0,0,0,1,0,0,0
95,,"She wears it quite a bit and so far no issues with it at all, she often mentions how comfy it is.",0,0,0,1,0,0,0,0
96,,I would definitely buy again.,0,0,0,0,0,0,0,1
97,"The hat fit perfectly, definitely a womans size. However, I bought Bright melon which is suppose to be pink. However, it is definitely not pink. It is more of an orangey coral.","The hat fit perfectly, definitely a womans size.",1,1,0,0,0,0,0,0
98,,"However, I bought Bright melon which is suppose to be pink.",0,0,0,0,0,0,1,0
99,,"However, it is definitely not pink.",0,0,0,0,0,0,1,0
100,,It is more of an orangey coral.,0,0,0,0,0,0,1,0
101,Love this! Fit perfectly,Love this ,0,0,0,0,0,0,0,1
102,,Fit perfectly,1,0,0,0,0,0,0,0
103,It fit just right go a little bit bigger than what you want,It fit just right go a little bit bigger than what you want,1,1,0,0,0,0,0,0
104,"Average, as expected. How excited can you get over a T-shirt?","Average, as expected.",0,0,0,0,0,0,0,1
105,,How excited can you get over a T shirt ,0,0,0,0,0,0,0,1
106,Nice shirt feels great,Nice shirt feels great,0,0,0,0,0,0,0,1
107,Love these capris. They compress just enough to keep my legs fresh during hours of running. The waistband pocket is perfect for a key.,Love these capris.,0,0,0,0,0,0,0,1
108,,They compress just enough to keep my legs fresh during hours of running.,0,0,0,0,0,0,0,1
109,,The waistband pocket is perfect for a key.,0,0,0,0,0,0,0,1
110,Great pants - although the embroidered logo is half gone after 3 washes.,Great pants   although the embroidered logo is half gone after 3 washes.,0,0,0,0,0,0,0,1
111,"Item is fleece, not a lightweight knit. That being said, it is the worst quality fleece garment Ive ever purchased. After repeated washing the fleece is still shedding all over my other clothes. I have never had this happen with any Nike garment before. If it is Nike, their quality has gone down hill.","Item is fleece, not a lightweight knit.",0,0,0,0,0,0,0,1
112,,"That being said, it is the worst quality fleece garment Ive ever purchased.",0,0,0,0,1,0,0,0
113,,After repeated washing the fleece is still shedding all over my other clothes.,0,0,0,0,0,0,0,1
114,,I have never had this happen with any Nike garment before.,0,0,0,0,0,0,0,1
115,,"If it is Nike, their quality has gone down hill.",0,0,0,0,1,0,0,0
116,"comfy, lasts long, but smaller than i expected.","comfy, lasts long, but smaller than i expected.",0,1,0,1,0,0,0,0
117,Love them,Love them,0,0,0,0,0,0,0,1
118,No stars becaus the size did not fit and now I have to mail it back and pay. This size did not run the way it should have. Communication is not great with the company.,No stars becaus the size did not fit and now I have to mail it back and pay.,0,1,0,0,0,0,0,0
119,,This size did not run the way it should have.,0,1,0,0,0,0,0,0
120,,Communication is not great with the company.,0,0,0,0,0,0,0,1
121,"Sandal is too small, and fits extremely tight across your foot.","Sandal is too small, and fits extremely tight across your foot.",0,1,0,0,0,0,0,0
122,"Fit big, loose the way I like it to.On the thin side but a GOOD price.","Fit big, loose the way I like it to.On the thin side but a GOOD price.",1,0,0,0,0,1,0,0
123,this is great quality pull over,this is great quality pull over,0,0,0,0,1,0,0,0
124,Fits in waist but the legs do ride up a bit. Still very nice,Fits in waist but the legs do ride up a bit.,1,0,0,0,0,0,0,0
125,,Still very nice,0,0,0,0,0,0,0,1
126,Good socks.Keep feet from stinking.,Good socks.Keep feet from stinking.,0,0,0,0,0,0,0,1
127,Not as it looks,Not as it looks,0,0,0,0,0,0,0,1
128,Small is more like a medium.,Small is more like a medium.,0,1,0,0,0,0,0,0
129,Most comfortable sweatpants ever and they look great. Side and back pocket have zippers that are high quality. Downside is price. 100 for sweat pants is ridiculous but the quality is there. Bought the grey color and large. Im 6ft athletic 180 pounds.,Most comfortable sweatpants ever and they look great.,0,0,0,1,0,0,0,0
130,,Side and back pocket have zippers that are high quality.,0,0,0,0,1,0,0,0
131,,Downside is price.,0,0,0,0,0,1,0,0
132,,100 for sweat pants is ridiculous but the quality is there.,0,0,0,0,1,1,0,0
133,,Bought the grey color and large.,0,1,0,0,0,0,1,0
134,,Im 6ft athletic 180 pounds.,0,0,0,0,0,0,0,1
135,I love these joggers.,I love these joggers.,0,0,0,0,0,0,0,1
136,Great t-shirt but runs small. Very fit cut,Great t shirt but runs small.,0,1,0,0,0,0,0,0
137,,Very fit cut,1,0,0,0,0,0,0,0
138,"Love them! I normally wear a medium but I wanted them to fit snug so I ordered a small, Love the fit. Hope to buy more colors soon. Only down fall is they are a dog hair magnet, totally not the leggings fault lol.",Love them ,0,0,0,0,0,0,0,1
139,,"I normally wear a medium but I wanted them to fit snug so I ordered a small, Love the fit.",1,1,0,0,0,0,0,0
140,,Hope to buy more colors soon.,0,0,0,0,0,0,1,0
141,,"Only down fall is they are a dog hair magnet, totally not the leggings fault lol.",0,0,0,0,0,0,0,1
142,"Perfect size for school, love the colors too!","Perfect size for school, love the colors too ",0,1,0,0,0,0,1,0
143,"This shirt is a bit more lightweight than some other brands, but its nice for Fall weather and running in colder temps. The color is really nice too.","This shirt is a bit more lightweight than some other brands, but its nice for Fall weather and running in colder temps.",0,0,0,0,0,0,0,1
144,,The color is really nice too.,0,0,0,0,0,0,1,0
145,Great value for a well-made product. Had inadvertently ordered this item from a fraudulent vendor so was very happy to find the real 90 Degree product.,Great value for a well made product.,0,0,0,0,0,0,0,1
146,,Had inadvertently ordered this item from a fraudulent vendor so was very happy to find the real 90 Degree product.,0,0,0,0,0,0,0,1
147,90 Degree by Reflex is a great brand. The fit is very comfortable and great quality material.,90 Degree by Reflex is a great brand.,0,0,0,0,0,0,0,1
148,,The fit is very comfortable and great quality material.,1,0,1,1,1,0,0,0
149,My son love this sneaker.,My son love this sneaker.,0,0,0,0,0,0,0,1
150,No give at all. Very stiff. Not what one would want to wear while exercising.,No give at all.,0,0,0,0,0,0,0,1
151,,Very stiff.,0,0,0,0,0,0,0,1
152,,Not what one would want to wear while exercising.,0,0,0,0,0,0,0,1
153,"Stretchy-tight, but still has just enough ball room. I wear these under tights for extra warmth when its cold out. Sweat wicks through to outside too. Nice to run in. Keeps everything in place.","Stretchy tight, but still has just enough ball room.",0,0,1,0,0,0,0,0
154,,I wear these under tights for extra warmth when its cold out.,0,0,0,0,0,0,0,1
155,,Sweat wicks through to outside too.,0,0,0,0,0,0,0,1
156,,Nice to run in.,0,0,0,0,0,0,0,1
157,,Keeps everything in place.,0,0,0,0,0,0,0,1
158,looks great feels great,looks great feels great,0,0,0,0,0,0,0,1
159,Just the right size and very comfy!,Just the right size and very comfy ,0,0,0,0,0,0,0,1
160,Love these sweats. Super warm and comfortable. Fit perfectly. They arrived before the seller said they sbould get here. I will definitely order again!,Love these sweats.,0,1,0,1,0,0,0,0
161,,Super warm and comfortable.,0,0,0,1,0,0,0,0
162,,Fit perfectly.,1,0,0,0,0,0,0,0
163,,They arrived before the seller said they sbould get here.,0,0,0,0,0,0,0,1
164,,I will definitely order again ,0,0,0,0,0,0,0,1
165,"These sweatpants are not typical, as they are made of a strechy fabric, and not your normal soft cotton sweat pant material inside. They fit well, but I was surprised about the fabric.","These sweatpants are not typical, as they are made of a strechy fabric, and not your normal soft cotton sweat pant material inside.",0,0,1,0,0,0,0,0
166,,"They fit well, but I was surprised about the fabric.",1,0,1,0,0,0,0,0
167,"Delivery was on time. Quality, fit and comfort is great",Delivery was on time.,0,0,0,0,0,0,0,1
168,,"Quality, fit and comfort is great",1,0,0,1,1,0,0,0
169,Product and service were both perfect! Fit was great.,Product and service were both perfect ,0,0,0,0,0,0,0,1
170,,Fit was great.,1,0,0,0,0,0,0,0
171,I like them,I like them,0,0,0,0,0,0,0,1
172,I bought this from DSW and not amazon but my feet feel so much better than any other flip flops I have tried. These are simple and comfotable and have small messaging dots on the sole that helped my aching feet a lot. My feet were swolen so I got a size up from my regular size.,I bought this from DSW and not amazon but my feet feel so much better than any other flip flops I have tried.,0,0,0,0,0,0,0,1
173,,These are simple and comfotable and have small messaging dots on the sole that helped my aching feet a lot.,0,0,0,1,0,0,0,0
174,,My feet were swolen so I got a size up from my regular size.,0,1,0,0,0,0,0,0
175,"excelente el producto lo recomiendo, llego en buenas condiciones. el empaque es muy bueno, no estaba abierto y a tiempo!!","excelente el producto lo recomiendo, llego en buenas condiciones.",0,0,0,0,0,0,0,1
176,,"el empaque es muy bueno, no estaba abierto y a tiempo ",0,0,0,0,0,0,0,1
177,"I think it runs big a tiny bit, but it is not see through at all! I love it, think material, well built. Buying different colors soon!","I think it runs big a tiny bit, but it is not see through at all ",0,1,1,0,0,0,0,0
178,,"I love it, think material, well built.",0,0,1,0,0,0,0,0
179,,Buying different colors soon ,0,0,0,0,0,0,1,0
180,Great shirt,Great shirt,0,0,0,0,0,0,0,1
181,"I love these for yoga, pilates and ballet barr class. Highly recommended","I love these for yoga, pilates and ballet barr class.",0,0,0,0,0,0,0,1
182,,Highly recommended,0,0,0,0,0,0,0,1
183,"More stretchy than I thought it would be. Next time, specify that it is LOW TO MODERATE SUPPORT.",More stretchy than I thought it would be.,0,0,1,0,0,0,0,0
184,,"Next time, specify that it is LOW TO MODERATE SUPPORT.",0,0,0,0,0,0,0,1
185,My daughter absolutely loves these. Very comfortable and by far her favorite pair. Fits just as expected.,My daughter absolutely loves these.,0,0,0,0,0,0,0,1
186,,Very comfortable and by far her favorite pair.,0,0,0,1,0,0,0,0
187,,Fits just as expected.,1,0,0,0,0,0,0,0
188,Best leggings ever !!! You can wear them to work out and also just to wear around ! They do have the mesh in the back . Im 59 -160 Lbs and the large fit perfect ! There so stretchy ! And there long enough for me witch is always a plus !!!,Best leggings ever    ,0,0,0,0,0,0,0,1
189,,You can wear them to work out and also just to wear around  ,0,0,0,0,0,0,0,1
190,,They do have the mesh in the back .,0,0,0,0,0,0,0,1
191,,Im 59  160 Lbs and the large fit perfect  ,1,1,0,0,0,0,0,0
192,,There so stretchy  ,0,0,1,0,0,0,0,0
193,,And there long enough for me witch is always a plus   ,0,0,0,0,0,0,0,1
194,Great fit!,Great fit ,1,0,0,0,0,0,0,0
195,Love them. Very comfortable !!!????????????,Love them.,0,0,0,0,0,0,0,1
196,,Very comfortable               ,0,0,0,1,0,0,0,0
197,"My picky shopper ""LOVED"" this jacket. Will definitely buy another real soon because I even liked it for me! Thanks again!",My picky shopper  LOVED  this jacket.,0,0,0,0,0,0,0,1
198,,Will definitely buy another real soon because I even liked it for me ,0,0,0,0,0,0,0,1
199,,Thanks again ,0,0,0,0,0,0,0,1
200,I received these and they do not work.,I received these and they do not work.,0,0,0,0,0,0,0,1
201,Shirt is of good quality as expected.,Shirt is of good quality as expected.,0,0,0,0,1,0,0,0
202,Comfy but fun big.,Comfy but fun big.,0,0,0,1,0,0,0,0
203,Nowhere near the level of compression that I need. OK to just workout in but dont expect high compression levels.,Nowhere near the level of compression that I need.,0,0,0,0,0,0,0,1
204,,OK to just workout in but dont expect high compression levels.,0,0,0,0,0,0,0,1
205,"Excellent
Design material
Its just righr",Excellent Design material Its just righr,0,0,1,0,0,0,0,0
206,"Love these. I bought a medium & the waste was vey tight. Im a size 11, 510"". I bought a 2nd pair in a large & they fit great.",Love these.,0,0,0,0,0,0,0,1
207,,I bought a medium   the waste was vey tight.,0,1,0,0,0,0,0,0
208,,"Im a size 11, 510 .",0,1,0,0,0,0,0,0
209,,I bought a 2nd pair in a large   they fit great.,1,1,0,0,0,0,0,0
210,Good value for the price look like I got them from a retail store.,Good value for the price look like I got them from a retail store.,0,0,0,0,0,1,0,0
211,Love the material but for a medium it fit like a small,Love the material but for a medium it fit like a small,1,1,1,0,0,0,0,0
212,Great shoe extra cute arrived on time will def purchase from seller again,Great shoe extra cute arrived on time will def purchase from seller again,0,0,0,0,0,0,0,1
213,Absolutely love these! They stay in place and are so comfortable,Absolutely love these ,0,0,0,0,0,0,0,1
214,,They stay in place and are so comfortable,0,0,0,1,0,0,0,0
215,LOVE LOVE this jacket! Very soft and comfortable!,LOVE LOVE this jacket ,0,0,0,0,0,0,0,1
216,,Very soft and comfortable ,0,0,1,1,0,0,0,0
217,Great capris. Had to return only because the color didnt work with the top I bought them for. Very speedy delivery. Thank you!,Great capris.,0,0,0,0,0,0,0,1
218,,Had to return only because the color didnt work with the top I bought them for.,0,0,0,0,0,0,1,0
219,,Very speedy delivery.,0,0,0,0,0,0,0,1
220,,Thank you ,0,0,0,0,0,0,0,1
221,"Good quality top, I bought one a couple of years back and loved the fit.","Good quality top, I bought one a couple of years back and loved the fit.",1,0,0,0,1,0,0,0
222,Strong compression. Only problem was that I ordered gold and got silver. Annoyed but not enough to have to go through the return process,Strong compression.,0,0,0,0,0,0,0,1
223,,Only problem was that I ordered gold and got silver.,0,0,0,0,0,0,1,0
224,,Annoyed but not enough to have to go through the return process,0,0,0,0,0,0,0,1
225,Love these better than higher priced pants.,Love these better than higher priced pants.,0,0,0,0,0,1,0,0
226,"get what you pay for, and this was as expected.","get what you pay for, and this was as expected.",0,0,0,0,0,0,0,1
227,Perfect fit. Dries fast and protects against cold while still being breathable. The material feels awesome and i love the color!,Perfect fit.,1,0,0,0,0,0,0,0
228,,Dries fast and protects against cold while still being breathable.,0,0,0,0,0,0,0,1
229,,The material feels awesome and i love the color ,0,0,1,0,0,0,1,0
230,Loose sleeves exactly what I wanted for bug protection.,Loose sleeves exactly what I wanted for bug protection.,0,0,0,0,0,0,0,1
231,Very thin......see through!,Very thin......see through ,0,0,1,0,0,0,0,0
232,"well there must be something wrong with the designing - the size is way larger than it should be, okay???
i gave it to my friend who wears one size larger than me, and it didnt even fit her ! runs tooooo big","well there must be something wrong with the designing   the size is way larger than it should be, okay   ",0,1,0,0,0,0,0,0
233,,"i gave it to my friend who wears one size larger than me, and it didnt even fit her  ",1,1,0,0,0,0,0,0
234,,runs tooooo big,0,0,0,0,0,0,0,1
235,I bought them for my husband. He says that they are comfortable. Hes happy with them. I do recommend them.,I bought them for my husband.,0,0,0,0,0,0,0,1
236,,He says that they are comfortable.,0,0,0,1,0,0,0,0
237,,Hes happy with them.,0,0,0,0,0,0,0,1
238,,I do recommend them.,0,0,0,0,0,0,0,1
239,These were a Christmas gift to our grand daughter and she loves them. That makes me happy!,These were a Christmas gift to our grand daughter and she loves them.,0,0,0,0,0,0,0,1
240,,That makes me happy ,0,0,0,0,0,0,0,1
241,Love Love Love these LeggingsÃ¢â‚¬Â¦got four pair since everyone tells me I look like Ive lost weight! Get em theyre great!,Love Love Love these Leggings   got four pair since everyone tells me I look like Ive lost weight ,0,0,0,0,0,0,0,1
242,,Get em theyre great ,0,0,0,0,0,0,0,1
243,"They ride up a lot and are not very comfortable but, I have gotten lots of compliments","They ride up a lot and are not very comfortable but, I have gotten lots of compliments",0,0,0,1,0,0,0,0
244,Love them! No cellulite shows thru. And Im pretty sure that I look thinner in them. (Yippee!). They stay in place in exercise classes without having to adjust even once. I would definitely buy again,Love them ,0,0,0,0,0,0,0,1
245,,No cellulite shows thru.,0,0,1,0,0,0,0,0
246,,And Im pretty sure that I look thinner in them.,0,0,0,0,0,0,0,1
247,, Yippee  .,0,0,0,0,0,0,0,1
248,,They stay in place in exercise classes without having to adjust even once.,0,0,0,0,0,0,0,1
249,,I would definitely buy again,0,0,0,0,0,0,0,1
250,Jersey is good quality & fits well. Payed for 1 day shipping & got it over 3 days late.,Jersey is good quality   fits well.,1,0,0,0,1,0,0,0
251,,Payed for 1 day shipping   got it over 3 days late.,0,0,0,0,0,0,0,1
252,"My bf, who is a huge golfer, loves it. Great buy","My bf, who is a huge golfer, loves it.",0,0,0,0,0,0,0,1
253,,Great buy,0,0,0,0,0,0,0,1
254,Thin fabric. Tends to run. Question authenticity of brand.,Thin fabric.,0,0,1,0,0,0,0,0
255,,Tends to run.,0,0,0,0,0,0,0,1
256,,Question authenticity of brand.,0,0,0,0,0,0,0,1
257,"Im slipping in barre class with these. They probably work okay on a hard floor, but not carpet. :/",Im slipping in barre class with these.,0,0,0,0,0,0,0,1
258,,"They probably work okay on a hard floor, but not carpet.",0,0,0,0,0,0,0,1
259,Nephew loved them,Nephew loved them,0,0,0,0,0,0,0,1
260,Love the socks,Love the socks,0,0,0,0,0,0,0,1
261,light weight and very comfortable color is just what I expected.,light weight and very comfortable color is just what I expected.,0,0,0,1,0,0,1,0
262,"Very good quality, as expected with all
Nike products. I do wish the legs were more tapered than straight. The style is slightly baggy, which is not on the current gym trend.","Very good quality, as expected with all Nike products.",0,0,0,0,1,0,0,0
263,,I do wish the legs were more tapered than straight.,0,0,0,0,0,0,0,1
264,,"The style is slightly baggy, which is not on the current gym trend.",0,0,0,0,0,0,0,1
265,Great quality . My husband loves them. They are really comfy,Great quality .,0,0,0,0,1,0,0,0
266,,My husband loves them.,0,0,0,0,0,0,0,1
267,,They are really comfy,0,0,0,1,0,0,0,0
268,Runs very big I had to return it,Runs very big I had to return it,0,0,0,0,0,0,0,1
269,Great my son loves them and has gotten lots of compliments. Fit as expected.,Great my son loves them and has gotten lots of compliments.,0,0,0,0,0,0,0,1
270,,Fit as expected.,1,0,0,0,0,0,0,0
271,Excellent product!! I am very happy with this purchase.,Excellent product  ,0,0,0,0,0,0,0,1
272,,I am very happy with this purchase.,0,0,0,0,0,0,0,1
